Clothes and shoes,9
Beauty product,2
Medicine and doctor's office,1
Farming,1
Construction (roofing and plumbing),1
"Furnishing (furniture, carpet, cabinets, rugs, locks)",4
Jewelry [art works 4],5
Groceries and coal,7
Cleaning and laundry,3
Restaurant/saloon/tavern,2
