Periodical,Location,Ethnic Periodical,lon,lat
New York Tribune,"New York, New York",,-73.9808,40.7648
The Congregationalist,"Boston, Massachusettes",,-71.0596,42.3605
Evangelist,"Davenport, IA",,-90.5776,41.5236
Zion's Harald,"Boston, Massachusettes",,-71.0596,42.3605
London Daily,"London, England",,-0.1275,51.50722
Richmond Examiner,"Richmond, Virginia",,-77.4343,37.5385
