Periodical,Location,Ethnic Periodical,lon,lat
New York Tribune,"New York, New York",,-73.9808,40.7648
Hun’s Merchant’s Magazine,"New York, New York",,-73.9808,40.7648
Mansfield Herald ,"Mansfield, Ohio",,-82.5164,40.7611
Columbus Journal,"Columbus, Nebraska",,-97.3684,41.4296
Hamilton Intelligencer,"Hamilton, Ohio",,-82.5,40.5
