Clothes and shoes,4
Beauty product,1
Medicine and doctor's office,6
Books,1
Barbershop,1
Farming,1
"Construction (roofing and plumbing)",3
"Furnishing (furniture, carpet, cabinets, rugs)",1
"Employment",5
