category,frequency
Clothes and shoes,83
Beauty product,1
Medicine and doctor’s office,156
Books/postcard/portrait/periodicals,30
Barbershop,7
Farming,49
Construction ,3
Furnishing,102
Employment,62
Printer/binder,2
Hotel/Boarding house,35
Jewelry,
Groceries,41
Cleaning,1
Music lessons,
Sewing machine,
Restaurant/saloon/tavern,
Cemetery,
Insurance,
Bank/Loan,
Real estate,
Liquors and cigars,
Law office,
Photography,
Eyeglasses,
Private school/training school,
