LOCAL AGENTS,Date,Agent
"Zanesville, Rev. Geo. Coleman.",02-28-1844,traveling
"wardina, Rev. E, Cumberland, Rev. I’ox..",02-28-1844,traveling
"Xenia. Rev. D, Winslow.",02-28-1844,traveling
"Logan ce, Rev. MT’. Nusum,",02-28-1844,traveling
"Himilton, Rev. W. C Yancy,",02-28-1844,traveling
Massillon. Rev. J. ‘Thomas.,02-28-1844,traveling
"Columbus. Rev. W. Shelton, Rev. T.. Lawrence.",02-28-1844,traveling
"Mt, Pleasant, Rey. W. Numan.",02-28-1844,traveling
"Jackson co, Rev. ‘I’. Woodson.",02-28-1844,traveling
"Cincinnati—W W Watson, A M Sumner, WH Yancy.",03-20-1844,local
"Hamilton, Butler co.—H Simpson.",03-20-1844,local
"Dayton, O..—T. Jefferson.",03-20-1844,local
"Spring field—W. Piles, R. Piles,",03-20-1844,local
"Urbana--L, Adams, A Kane. .",03-20-1844,local
"Chillicothe—K W Chanceller, James Leach,",03-20-1844,local
"U Moody, C H Langston, J Burnett.",03-20-1844,local
Cireleville—W Scott.,03-20-1844,local
"| Lancaster—S Smith N Smith, Rev. I, Martin",03-20-1844,local
"Zanesville—B Messer, 1 Nusum, W Gasaway",03-20-1844,local
"Hillshoro—J Tailor, N ‘Tailor.",03-20-1844,local
| Steubenville—W Ferris.,03-20-1844,local
"Newark—W Jenkins, H Robinson,",03-20-1844,local
"Cleveland— J Malvin, J L Watson, R D Kenney.",03-20-1844,local
"Dublin—S White, jr.",03-20-1844,local
"Xenia——-W Roberts,",03-20-1844,local
"Logan County--K Artis, sen. K Attia, jr.",03-20-1844,local
Mt. Vernon—O Martin.,03-20-1844,local
Trenton Jefferson co.—J Simpson.,03-20-1844,local
Pat. Pleasant--Elijah Sawyer.,03-20-1844,local
Warren—A re.,03-20-1844,local
"Gallipolis—I1"" Bell, J Gee,",03-20-1844,local
"Jackson—N Nukes, T Woodson.",03-20-1844,local
Lebanon—T Benford.,03-20-1844,local
Massillon—J 3 Thompson.,03-20-1844,local
Barnesville—A Harper.,03-20-1844,local
"Oberlin—A Jones, W P Newman,",03-20-1844,local
Lower Sandusky—A Winfield.,03-20-1844,local
Fockburne-~E C ‘lyner.,03-20-1844,local
Morgan county—\\oyd E Guy.,03-20-1844,local
Putnum—J ‘Thomas.,03-20-1844,local
"Terrehaute Ia—E, Roy.",03-20-1844,local
Lafayette Ia.— 8 B Webster.,03-20-1844,local
Granville O. 'T Wa'ker.,03-20-1844,local
"|New York City—C B Ray, TS Wright.",03-20-1844,local
"Troy, N ¥Y—1l H Garnett.",03-20-1844,local
"Utica, N Y--T Woodson, J Fontain,",03-20-1844,local
"Gegeva, N ¥—J W Duffin.",03-20-1844,local
Rochester N Y--J Sharp.,03-20-1844,local
Batavia N Y—W Johnson.,03-20-1844,local
Brockport N Y—A Peck.,03-20-1844,local
"Lockport, N ¥Y--A Outley,",03-20-1844,local
"Buffalo, N Y—W W Brown, A II Francis.",03-20-1844,local
"Boston, Mass.--J T Wilton.",03-20-1844,local
"Pittsburgh, Pa.—J B Vashoo.",03-20-1844,local
Madison la.—A Duncan.,03-20-1844,local
"Indianopolis, Ia.—J G Bretton.",03-20-1844,local
"Detroit, Mich.--R Banks, W C Monroe.",03-20-1844,local
Piketon--W Evans.,03-20-1844,local
"Richmond, Ross co.—C Oston, “",03-20-1844,local
"Sharonvillc~-D Lucus, C Smith, W Polson.",03-20-1844,local
"Miami ca, 'T, Anderson, R. Smith.",03-20-1844,local
"Vamrertco. U, Taylor.",03-20-1844,local
"Shelby co. J, Robe r'son.",03-20-1844,local
"Lagan co. D. D. Day,",03-20-1844,local
Champaign co 1). Lancatter.,03-20-1844,local
"Crawford co. A, Allen.",03-20-1844,local
"Cincinnati, Rev. C, Satchel, Rev. M.M.Clatk.",03-20-1844,traveling
Springfield. Rev. T. Roberts.,03-20-1844,traveling
"Zanesville, Rev. Geo. Coleman.",03-20-1844,traveling
"ardina, Rev. E, Cumberland, Rev. Tox.",03-20-1844,traveling
"Xenia. Rev. D, Winslow,",03-20-1844,traveling
"Logan ce, Rev. M TT’. Nusum.",03-20-1844,traveling
‘Hamilton. Rev. W. C Yancy.,03-20-1844,traveling
Massillon. Rev. J. Thomas.,03-20-1844,traveling
"Columbus. Rev. W, Shelton, Rev. T. Lawence.",03-20-1844,traveling
"Mt, Pleasant. Rev. W. Newmon.",03-20-1844,traveling
"Jackson co, Rev. T. Woodson.",03-20-1844,traveling
"Butler co. J. UW. ¥ancy, 8. Jones,",03-20-1844,traveling
LOCAL AGENTS. ,,
"Cincinnati—W W Watson, A M Sumner,W. Tl Yancy.",03-27-1844,local
"Hamilton, Butler co—H Simpson.",03-27-1844,local
"Dayton, O..—T. Jefferson. _",03-27-1844,local
"Spring field—W. Piles, R. Piles,",03-27-1844,local
"Urbana--L Adams, A Kane.",03-27-1844,local
"Chillicothe—R W Chanceller, James Leach,",03-27-1844,local
"U Moody, C H Langston, J Burnett.",03-27-1844,local
Circleville—W Scott.,03-27-1844,local
"Lancaster—S Smith N Smith, Rev. lL. Martin",03-27-1844,local
"Zanesville—B Messer, 1 Nusum, W Gasaway",03-27-1844,local
"Hiilsboro—J Tailor, N Tailor.",03-27-1844,local
Steubenrille—W Ferris.,03-27-1844,local
"Newark—W Jenkins, 1] Robinson, 7",03-27-1844,local
"Clercland—J Malvin, J L Watson, R D Kenney.",03-27-1844,local
"Dublin—S White, jr",03-27-1844,local
Nenia—-W Roberts.,03-27-1844,local
"Logan County--K Artis, sen. K Artis, jr.",03-27-1844,local
Mt. Vernon—O Martin.,03-27-1844,local
glrenton Jefferson co.—J Simpson.,03-27-1844,local
Mt. Pleasant--Ejjah Sawyer.,03-27-1844,local
Warren—A M@6re.,03-27-1844,local
"Gallipolis—li Bell, J Gee,",03-27-1844,local
"Jackson—N Nukes, T Woodson,",03-27-1844,local
Lebanon—T Benford.,03-27-1844,local
AMassillon—J S Thompson.,03-27-1844,local
Barnesville—A Harper.,03-27-1844,local
"Oberlin—A Jones, W P Newman,",03-27-1844,local
Lower Sandusky—A Winfield.,03-27-1844,local
Tockburne-—E C ‘Tyner.,03-27-1844,local
Morgan ‘county—}.\oyd E Guy.,03-27-1844,local
Putnum—J Vhomas.,03-27-1844,local
"Terrchaute Ila—E, Roy.",03-27-1844,local
Lafayette Ia.—S B Webster.,03-27-1844,local
Granville O. VT’ Walker.,03-27-1844,local
"New York City—C B Ray, T 8 Wright.",03-27-1844,local
"Troy, N ¥—iU H Garnett.",03-27-1844,local
"Utica, N Y¥--T Woodson, J Fontain,",03-27-1844,local
"Genera, N Y—J W Duffin.",03-27-1844,local
"Rochester N Y--J Sharp,",03-27-1844,local
Batavia N Y—W Jobnaon.,03-27-1844,local
Brockport N Y—A Peck.,03-27-1844,local
"Lockport, N Y—A Outley.",03-27-1844,local
"Buffalo, N Y—W W Brown, A II Francis.",03-27-1844,local
"Boston, Mass.--J T Wilton.",03-27-1844,local
"Pittsburgh, Pa.—J B Vashor.",03-27-1844,local
"Madison la.—A Duncan,",03-27-1844,local
"Indianopolis, Ia.—J G Bretton.",03-27-1844,local
"Detroit, Mich.--R Banks, W C Monroe.",03-27-1844,local
Piketon—-W Evans. ;,03-27-1844,local
"Richmond, Ross co.—C Oaton,",03-27-1844,local
"Sharonville--D Lucus, C Smith, W Polson.",03-27-1844,local
"Miami co, T., Anderson, R. Sinith.",03-27-1844,local
"Vanrertco. 1, Taylor.",03-27-1844,local
"Shelby co. J, Roberison.",03-27-1844,local
"Logan co. D, D. Day,",03-27-1844,local
Champaign co UV. Lancaster.,03-27-1844,local
"Crawford co. A, Allen.",03-27-1844,local
"incinnati, Rev. C, Satchel, Rev. M. :",03-27-1844,traveling
