LOCAL AGENTS,Date,Agent
ie. Pleasant—Elijah Sawyer.,05-08-1844,local
Warren—A Mag,05-08-1844,local
"Gallipolis—H Bell, J Gee,",05-08-1844,local
"Jackson—N Nukes, T Woodson.",05-08-1844,local
Lebanon—T Benford.,05-08-1844,local
| Massillon—J S Thompson,05-08-1844,local
", BarnesvilleA Harper.",05-08-1844,local
"Oberlin—A Jones, W P Newman.",05-08-1844,local
Lower Sandusky A Winfield.,05-08-1844,local
Lockburne--E C ‘I'yner.,05-08-1844,local
Morgan county—Lloyd B Guy.,05-08-1844,local
Putnum—J ‘Thomas.,05-08-1844,local
"Terrchaute Ja—E, Roy.",05-08-1844,local
Lafayette Ia.—S B Webster.,05-08-1844,local
Granville O. ‘T Wa'ker.,05-08-1844,local
"New York City—C B Ray, TS Wright",05-08-1844,local
"Troy, N Y—U H Garnett.",05-08-1844,local
"Utiea, N Y--T Woodson, J Fontain,",05-08-1844,local
"Geneva, N Y—J W Douffin.",05-08-1844,local
Batavia N Y—W Johnson.,05-08-1844,local
"Brockport N Y—A Peck,",05-08-1844,local
"Lockport, N Y A Outley.",05-08-1844,local
"Buffalo, N Y W W Brown, A II Francis",05-08-1844,local
"Boston, Mass.--J T Wilton.",05-08-1844,local
"Pittsburgh, Pa. J B Vashon.",05-08-1844,local
Madison Ia.—A Duncan.,05-08-1844,local
"Indianopolis, Ia. J G Bretton.",05-08-1844,local
"Detroit, Mich.--R Banks, WoC Monroe.",05-08-1844,local
"Piketon--W Evans,",05-08-1844,local
"Richmond, Ross co. C Oston,.",05-08-1844,local
"Sharonville--D Lucus, C Smith, W Polson.",05-08-1844,local
"Miami co, T. Anderson, R. Smith.",05-08-1844,local
"Vanwertco. U, Taylor.",05-08-1844,local
Shelby co. J. Robertson.,05-08-1844,local
"Loganco. D. D. Day,",05-08-1844,local
Champaign co. D. Lancaster.,05-08-1844,local
"Cratwford co. A, Allen.",05-08-1844,local
"Cincinnati, Rev. C, Satchel, Rev. M. M.Clatk.",05-08-1844,traveling
Springfield. Rev. T. Roberts.,05-08-1844,traveling
"Zanesville, Rev. Geo. Coleman.",05-08-1844,traveling
"Wardina, Rev. E, Cumberland, Rev. S. Tox.",05-08-1844,traveling
"Xenia. Rev. D. Winslow, — .-",05-08-1844,traveling
"Logan ce, Rev. M’ T: Nusum.",05-08-1844,traveling
Hamilton. Rev. W: C Yancy.,05-08-1844,traveling
Massillon. Rev. J. Thomas.,05-08-1844,traveling
"Columbus. Rev. W.. Shelton, Rev. T. Law.",05-08-1844,traveling
rence.,05-08-1844,traveling
"Mt. Pleasant. Rey, W.. Newmon.-",05-08-1844,traveling
"Jackson co, Rev. 'T. Woodson.",05-08-1844,traveling
Butler co. J. UW. Yancy; 3: Jones.,05-08-1844,traveling
"Wincinnati W W Watson, A M Sumner, W U1 Yancy.",05-15-1844,local
"Hemitton, Butler co.—1U Simpson.",05-15-1844,local
"Dayton, O. T. Jetlersen. —",05-15-1844,local
"Springfield W. Piles, R. Piles.",05-15-1844,local
"Urbana~-L Adams, A Kane.",05-15-1844,local
"Chillicothe , RK W Chanceller, James Leach,",05-15-1844,local
"|U Moody, C H Langston, J Burnett.",05-15-1844,local
‘Circleville W Scott.,05-15-1844,local
"_Lancaster* S Smith N Smith, Rev. I, Martin",05-15-1844,local
"Zanesville B Messer, 11 Nusum, W Gasaway",05-15-1844,local
"| Hillsboro J ‘Tailor, N ‘lailor.",05-15-1844,local
"Wurren, Trumble co--A Day",05-15-1844,local
Steubenville W Ferris.,05-15-1844,local
"Newark—W Jenkins, G W Roots °",05-15-1844,local
"Clercland J Malvin, J L Watson, R D Kenney.",05-15-1844,local
"Dublin S White, jr.",05-15-1844,local
Nexia W Roberts.,05-15-1844,local
"Logan County--D. D. Day. K Artis, je.",05-15-1844,local
Mt. Vernon—O Martin.,05-15-1844,local
Trenton Jefferson co.—J Simpson.,05-15-1844,local
Mt. Pleasant# Elijah Sawyer.,05-15-1844,local
Warren—-A “Moore. ',05-15-1844,local
"Gallipolis—I1 Bell, J Gee,",05-15-1844,local
"Jackson—N Nukes, T Woodson.",05-15-1844,local
Lebanon—T Benford.,05-15-1844,local
Massillon—J 3 Thompson.,05-15-1844,local
Barnesville—A Harper.,05-15-1844,local
"Oberlin—A Jones, W P Newman,",05-15-1844,local
| Lower Sandusky A Winfield.,05-15-1844,local
Lockburne--E C 'l'yner.,05-15-1844,local
Mérgan county—lloyd E Guy.,05-15-1844,local
Putnum—J Thomas.,05-15-1844,local
"Terrehaute Ia—E, Roy,",05-15-1844,local
Lafayette la.—S B Webster.,05-15-1844,local
Granville O. 'T Walker.,05-15-1844,local
"New York City—C B Ray, TS Wright.",05-15-1844,local
"Troy, N Y—H Wf Garnett.",05-15-1844,local
"Utica, NV Y--T Woodson, J Fontain,",05-15-1844,local
"Genera, N Y—J W Duffin.",05-15-1844,local
Bataria N Y—W Johnson.,05-15-1844,local
Brockport N Y—A Peck.,05-15-1844,local
"Lockport, NY A Outley.",05-15-1844,local
"Buffalo, NY Ww Brown, A Il Francis",05-15-1844,local
"Boston, Mass.--J T Ulilton.",05-15-1844,local
"Pittsburgh, Pa. J B Vashon.",05-15-1844,local
Madison Ila.—A Duncan.,05-15-1844,local
Tadinhopatis Ia. JS G Bretton.,05-15-1844,local
"Detroit, Mich.--R Banks, WC Monroe.",05-15-1844,local
"Piketon--W Evans,",05-15-1844,local
"Richmond, Ross co. C Oston, v",05-15-1844,local
"Sharonvillc——D Lucus, C Smith, W Polson.",05-15-1844,local
"Miami co, 'T, Anderson, R. Smith.",05-15-1844,local
"Vanwertco. 1, Tay lor. .",05-15-1844,local
Shelby co. H Galloway AN Redmon,05-15-1844,local
Champaign co. D. Lancaster.,05-15-1844,local
"Crawford co, A, Allen.",05-15-1844,local
"Cincinnati, Rev. C, Satchel, Rev. M.M Clark.",05-15-1844,traveling
Springfield: Rev. T. Roberts.,05-15-1844,traveling
"Zanesville, Rev. Geo. Coleman.",05-15-1844,traveling
"Wardina, Rev. B. Cumberland, Rev. &. Yox.",05-15-1844,traveling
"Xenia. Rev. D. Winslow,",05-15-1844,traveling
"Logan ce, Rev. MT. ‘Nusum,",05-15-1844,traveling
"Hamilton, Rev. W. C Yancy.",05-15-1844,traveling
Massillon. Rev. J. ‘Thomas.,05-15-1844,traveling
"Columbus. Rev. W, Shelton, Rev. T. Lawrence.",05-15-1844,traveling
"Mi, Pleasant, Rev. W. Newmon.",05-15-1844,traveling
Jackson co. Rev. T. Woodson.,05-15-1844,traveling
"Butler co. J. W. Ya ney, S, Jones",05-15-1844,traveling
"Cincinnati W W Watson, AM Sumner,W oH Yaney.",05-22-1844,local
"Hamilton, Butler co—i Simpaon.",05-22-1844,local
"Dayton, O. TV. Jefferson.",05-22-1844,local
"Springfield W. Piles, Re Piles.",05-22-1844,local
"Urhana--L, Adums, A Kane.",05-22-1844,local
"Chillicothe * R W Chanceller, James Leach,",05-22-1844,local
"U Mody, C H Langston, J Burnett.",05-22-1844,local
Circleville W Svott.,05-22-1844,local
"Ewmceaster & Sinith N Smith, Rev. 1. Martin",05-22-1844,local
"Zanesville WB Messer, U Nusum, W Gasaway",05-22-1844,local
"Hillsboro J Tailor, N ‘Tailor,",05-22-1844,local
"Warren, Trumble co-—A Day",05-22-1844,local
Steubenville W Ferris.,05-22-1844,local
"Newark—W_ Jenkins, G W Roots",05-22-1844,local
"Cleveland J Malviny J L Watson, RD Kenney.",05-22-1844,local
"Dublin § Wisite, jr.",05-22-1844,local
Nenia W Roberts.,05-22-1844,local
"Legan County--D, D. Day. K Artis, jr,",05-22-1844,local
Mt. Vernon—-O Martin.,05-22-1844,local
Trenton Jeffirsgn co.—J Simpson.,05-22-1844,local
"Mt. PleasantV iat Sawyer,",05-22-1844,local
Warren--A Moore.,05-22-1844,local
"Gallipotis—Il Bell, J Gee,",05-22-1844,local
"Jackson—N Nukes, T Woodson.",05-22-1844,local
Lebunon—V Benford.,05-22-1844,local
"Massillon—J § Thompson,",05-22-1844,local
BurnesvillemaA Harper.,05-22-1844,local
"Oberlin—A Jones, WP Newman,.",05-22-1844,local
Lower Sandusky A Winfield.,05-22-1844,local
| Lockburue-- C Tyner.,05-22-1844,local
| Morvan county—VLloyd E Guy.,05-22-1844,local
| Pitnum—J ‘Vhomne.,05-22-1844,local
"| Terrchaute la E. Roy, +",05-22-1844,local
"Lafayette la.—S B Webster,",05-22-1844,local
Granville O. ‘T Walker.,05-22-1844,local
"New Yori: Cily—C B Ray, T§ Wright.",05-22-1844,local
"Troy, N Y— WW Garnett.",05-22-1844,local
"Utica, N yu-T Woodson, J Fountain,",05-22-1844,local
"Geneva, N Y—J W [uffin.",05-22-1844,local
Butarvia N Y—sy Johnson.,05-22-1844,local
Brockport N YA Peck.,05-22-1844,local
"Lockport, N ¥ A Ouiley,",05-22-1844,local
"Biffaloos NY Ww Brown, A II Erancis.",05-22-1844,local
"Boston, Mass -~J ‘J’ Hilton,",05-22-1844,local
"Pittsburgh, Pu, JB Vashon,",05-22-1844,local
"Madison la.—A Duncan,",05-22-1844,local
"Indianopolis, Ia. J G Bretton.",05-22-1844,local
"Detroit, Mich --R Banks, WC Monrce.",05-22-1844,local
Piketon=-W Evans. ;,05-22-1844,local
"Richmond, Ross co, C Oston, :",05-22-1844,local
"Sharonville=-]) Lucus, © Smith, W Polson.",05-22-1844,local
"Miami ca, ‘J, Anderson, R, Smith.",05-22-1844,local
"Vanwertco. U, Tay lor,",05-22-1844,local
Shelby Cc). Il Galloway A N Redmon,05-22-1844,local
"Champaign co. WD, Lancaster.",05-22-1844,local
"(Cratford-co. A, Allen,",05-22-1844,local
"Cincinnati, Rey, C",05-22-1844,traveling
". Satchel, Rey. M.M°Clasie.",05-22-1844,traveling
"Springfield. Rev, T, Roberts,",05-22-1844,traveling
"Zunesvide, Rev, Geo. Coleman.",05-22-1844,traveling
"“ardina, Rev, BR, Cumberland, Rey. S. Tox.,",05-22-1844,traveling
"NVenia. Rev. D, Winslow,",05-22-1844,traveling
"Logan ce, Rev. M T’. Nusum,",05-22-1844,traveling
"Himilton. Rev. W. © Yancy,",05-22-1844,traveling
Massillon. Rev. - Thomas.,05-22-1844,traveling
"Columbus. Rev. W.g helton, Rev. T. -Lawtence,",05-22-1844,traveling
"Mt, Pleasant, Rey. W, Newmon,",05-22-1844,traveling
"Jackson co. Rev. T, Woodson.",05-22-1844,traveling
"Butler co. JH, Yancy, 3. Jones,",05-22-1844,traveling
"Cincinnati W W Watson, A M Sumner,W Il Yaney.",05-29-1844,local
"Homilton, Butler co.—li Simpson.",05-29-1844,local
"Dayton, O.  T. Jefferson, .",05-29-1844,local
"Spring field W. Piles, R. Piles.",05-29-1844,local
"Urbana--L Adams, A Kane.",05-29-1844,local
"Chilheothe WR W Chanceller, James Leach,",05-29-1844,local
"U Moody, C EH Langston, J Burnett.",05-29-1844,local
Cirelcrille W Scutt.,05-29-1844,local
"Lincaster S Smuh N Smith, Rev. I, Martin",05-29-1844,local
"Zunesville B Messer, U Nusum, W Gasaway",05-29-1844,local
"Hillsboro J Tailor, N ‘Tailor,",05-29-1844,local
"Warren, Trumble co-—-A Day",05-29-1844,local
Steubenville W Ferris.,05-29-1844,local
"Newark—W Jenkins, G W Roots",05-29-1844,local
"Clevelund J Malvin, J L Watson, RD Kenney.",05-29-1844,local
"Dublin S White, jr.",05-29-1844,local
Xenia W Roberts.,05-29-1844,local
"Logan Ceunty-- D. D, Day. K Artis, jr.",05-29-1844,local
"Mr. Vernon--Q, Martin.",05-29-1844,local
Trenton Jef on co.—J Simpson.,05-29-1844,local
"Mt. Pleasant--Elijah Sawyer,",05-29-1844,local
Wuarren—A Muoore.,05-29-1844,local
"Gallipolis—U Ucll, J Gee,",05-29-1844,local
"Jackson—N Nukes, T Woodson.",05-29-1844,local
"Lebanon—T Benford,",05-29-1844,local
Massillon—J 3 ‘Thompson.,05-29-1844,local
Barnesville—A Warper.,05-29-1844,local
"Obcrlin—A Jones, W P Newman,",05-29-1844,local
Lower Sandusky A Winfield.,05-29-1844,local
Lockburuc--E C 'lyner.,05-29-1844,local
Morgan county—\loyd E Guy.,05-29-1844,local
Putnum—J ‘Vhomas. 4,05-29-1844,local
"Terrehaute Ia—E, Roy,",05-29-1844,local
Lafayette la.— 8 B Webster.,05-29-1844,local
Granville O. ‘lV’ Wa'ker.,05-29-1844,local
"New York City—C B Ray, T 8 Wright.",05-29-1844,local
"Troy, N Y—i! We Garnett.",05-29-1844,local
"Utica, N Y--T Woodson, J Fontain,",05-29-1844,local
"Geneva, N Y—J W Duffin.",05-29-1844,local
Bataria N Y—W Johnson.,05-29-1844,local
Brockport N Y—A Peck.,05-29-1844,local
"Lockport, N Y A Outley,.",05-29-1844,local
"Buffalo, NY WW Brown, A II Francis:",05-29-1844,local
"Boston, Mase --J T Wilton.",05-29-1844,local
"Pittsburgt, Pa. J B Vashon.",05-29-1844,local
Madison la.—A Duncan.,05-29-1844,local
"Indianopolis, Ia. J G Bretton.",05-29-1844,local
"Detroit, Mich.~-R Banks, WC Monroe.",05-29-1844,local
Piketon--W Evans. .,05-29-1844,local
"Richmond, Ross co. C Oston,",05-29-1844,local
"Sharonville--D Lucus, C Smith, W Poleoe.",05-29-1844,local
"Miami co. ‘Tl’. Anderson, R. Smith.",05-29-1844,local
"Vanwertco. WW, Tay ter.",05-29-1844,local
Shelby co. 11 Gulloway AN Redmon,05-29-1844,local
Champaign co. D. Lancaster.,05-29-1844,local
"Crawford co. A, Alien.",05-29-1844,local
"Cincianali, Rev. C. Satchel, Rev. M. M Claik.",05-29-1844,traveling
"Spring field. Rev. T. Roberts,",05-29-1844,traveling
"Zanceville, Rev. Geo. Coleman.",05-29-1844,traveling
"Sardina, Rev. KE. Cumberland, Rev. 8. Fox.",05-29-1844,traveling
"Xenia. Rev. D. Winslow,",05-29-1844,traveling
"Logan ce, Rev. M_ 'T’, Nusum,",05-29-1844,traveling
Hamilton. Rey. W. C Yancy.,05-29-1844,traveling
Massillon. Rev. J. Thomas.,05-29-1844,traveling
"Columbus, Rev. W Shelton, Rev. T. Lawrence.",05-29-1844,traveling
"Mt, Pleasant. Rev. W. Newmon.",05-29-1844,traveling
"Jackson co, Rev. 'T’. Woodson.",05-29-1844,traveling
"Butler co. J. H. Yancy, S.Jones, ©",05-29-1844,traveling
"Cincinnati W W Watson, A M Sumner,W H Yancy.",06-05-1844,local
"Hamilton, Butler co.—H Simpson.",06-05-1844,local
"Dayton, O.. T. Jefferson. :",06-05-1844,local
"Springfield W. Piles,",06-05-1844,local
"Urbana—L Adams,",06-05-1844,local
"Chillicothe J Burnett, James Leach.",06-05-1844,local
Circleville W Scott.,06-05-1844,local
"Lancaster S Smith N Smith, Rev.",06-05-1844,local
"Zanesville J, Martin H Nusum, W Gasaway",06-05-1844,local
"Hillsboro J Tailor, N Tailor.",06-05-1844,local
"Warren, Trumble co—A Day",06-05-1844,local
Steubenville W = Ferris.,06-05-1844,local
"Newark—W Jenkins, G W Roots",06-05-1844,local
"Cleveland J Malvin, J L Watson, R D Kenney.",06-05-1844,local
"Dublin S White, jr.",06-05-1844,local
Xenia W Roberts.,06-05-1844,local
"Logan County--D. D. Day, K Artis, jr.",06-05-1844,local
Mt. Vernon—O Martin.,06-05-1844,local
enton Jefferson co.—J Simpson.,06-05-1844,local
Mt. Pleasant--ifjah Sawyer.,06-05-1844,local
"Warren—A Moore. """,06-05-1844,local
"Gallipolis—H Bell, J Gee, °",06-05-1844,local
"Jackson—N Nukes, T Woodson.",06-05-1844,local
Lebanon—T Benford.,06-05-1844,local
Massillon—J 3 Thompson.,06-05-1844,local
Barnesville—A Warper.,06-05-1844,local
"Uberlin—A Jones,",06-05-1844,local
Lower Sandusky A Winfeld.,06-05-1844,local
Morgan county—Lloyd E Guy.,06-05-1844,local
Putnum—J Thomas.,06-05-1844,local
"Terrchaute Ia—E, Roy,",06-05-1844,local
Lafayette Ia.— 8 B Webst :,06-05-1844,local
Granville O. T’ Walker.,06-05-1844,local
Madison Ia.—A Duncan.,06-05-1844,local
"Indianopolis, Ia. J G Bretton.",06-05-1844,local
"Detroit, Mich.--R Banks, W C Monroe.",06-05-1844,local
Piketon—-W Evans.,06-05-1844,local
"Richmond, Ross co. C Oston,",06-05-1844,local
"Sharonville-——-D Lucus, C Smith, W Po}son.",06-05-1844,local
"Miami co, 'T. Anderson, R. Smith.",06-05-1844,local
"Vanwertco. U, Taylor.",06-05-1844,local
Shelby co. 11 Galloway A N Redmon,06-05-1844,local
Champaign co. D. Lancaster.,06-05-1844,local
"Crawford co. A, Allen.",06-05-1844,local
"New Albany, Ind.—G W Carper.",06-05-1844,local
"Cincinnati, Rev. C. Satchel, Rev. M. M Clark.",06-05-1844,traveling
"sNardina, Rev. E, Cumberland, Rev. S. lox.",06-05-1844,traveling
"Logan ce, Rev. M_ ‘T’. Nusum.",06-05-1844,traveling
"Hrmilton. Rev. W. C Yancy,",06-05-1844,traveling
Massillon. Rev. J. Thomas.,06-05-1844,traveling
"Mt, Pleasant. Rev. W. Newmon,",06-05-1844,traveling
"Jackson co, Rev. ‘I’. Woodson.",06-05-1844,traveling
"Cincinnati W W Watson, A M Sumner,W TL Yaney.",06-12-1844,local
"Hamilton, Butler co.—l1 Simpson.",06-12-1844,local
"Dayton, O..  T. Jefferson.",06-12-1844,local
"Springfield W. Piles,",06-12-1844,local
"Urbana—l, Adams,",06-12-1844,local
"Chillicothe J Burnett, James Leaeh.",06-12-1844,local
Circleville W Scott.,06-12-1844,local
"Lancaster “S Smith N Smith,",06-12-1844,local
"Zanesville 1, Martin UW Nusum, WGasaway",06-12-1844,local
"Hillsboro J Tailor, N Wailor.",06-12-1844,local
"Warren, Trumble co-—A Day",06-12-1844,local
Steubenville W= Fertis.,06-12-1844,local
"Newark—W Jenkins, G W Roots",06-12-1844,local
"Cleveland J Malvin, J L Watson, R D",06-12-1844,local
Kenney.,06-12-1844,local
"Dublin S White, jr.",06-12-1844,local
Xenia W Roberts.,06-12-1844,local
"Logan County--D. D. Day. K Artis, jr.",06-12-1844,local
Mt. Vernon—O Martin.,06-12-1844,local
i ae co.—J Simpson.,06-12-1844,local
Mt. Pled¥ant--Elijah Sawyer.,06-12-1844,local
Warren—A Moore.,06-12-1844,local
"Gallipolis—I1 Bell, J Gee,",06-12-1844,local
"Juckson—N Nukes, T Woodson.",06-12-1844,local
ebanon—'F Benfurd.,06-12-1844,local
yasstllon—J S Thompson.,06-12-1844,local
rnesvillemA Harper.,06-12-1844,local
"Pe tek Jones, ~",06-12-1844,local
Low? Sandusky A Winfield.,06-12-1844,local
Mor8an county—Liovd Ee Guy.,06-12-1844,local
Pumn'um—J Thomas.,06-12-1844,local
"Terrchaute la.<E, Rov,",06-12-1844,local
"Lafay""e Ia.—3$ BWebster,",06-12-1844,local
"Granville O. T Walke,",06-12-1844,local
Madison Ia.—A Dunean.,06-12-1844,local
"Indianopolts, Ia. JG Bretton.",06-12-1844,local
"Detroit, Mich.--N Barks, W C Monsoe.",06-12-1844,local
"Piketon--W Evans,",06-12-1844,local
"Richmond, Ross co. C Oston,",06-12-1844,local
"Sharonville—-D Lucnus, C Smith, W Polson.",06-12-1844,local
"Miami co. T. Anderson, R. Saith.",06-12-1844,local
"Vanwertco. UW, Taylor.",06-12-1844,local
Shelby co. H Galloway A N Redmon,06-12-1844,local
Champaign co.. D. Lancaster.,06-12-1844,local
"Cratwford co. A, Allen.",06-12-1844,local
"New Albany, Ind.—G W Carter,",06-12-1844,local
"Cincinnati, Rev. C, Suichel, Rev. M.M Chatk.",06-12-1844,traveling
"Wardina, Rev. E, Cumberland, Rev. S. Lex.",06-12-1844,traveling
"Logan ce, Rev. MT’. Nusum,",06-12-1844,traveling
Humilton. Rev. W. C Yancy.,06-12-1844,traveling
Massillon. Rev. J. Thomas.,06-12-1844,traveling
"Mt, Pleasant. Kev. \V. Newmon.",06-12-1844,traveling
Jackson co Rev. T. Woodson.,06-12-1844,traveling
"Cincinnati W W Watson, A M Sumner,W Ul Yanev.",06-19-1844,local
"Hamilton, Butler co.—W Simpson.",06-19-1845,local
"Dayton, O.. 'T. Setfersun.",06-19-1846,local
"Springfield W. Piles,",06-19-1847,local
"Urbana-—L Adams,",06-19-1848,local
"Chillicothe J Burnett, James Leach.",06-19-1849,local
Circlerille W = Seott.,06-19-1850,local
"| Lancaster 8S Sunth N Smith,",06-19-1851,local
"Zanesville (?Mactin U Nusuin, W Gasaway",06-19-1852,local
"‘Hillsboro J Tailor, N ‘Tailor.",06-19-1853,local
"Warren, Trumble co--A Day",06-19-1854,local
Steubenville W Ferris.,06-19-1855,local
"Newark——W Jenkins, G W Roots",06-19-1856,local
"Cleveland J Mualvin, J L Watson, RD Kenney.",06-19-1857,local
"Dublin S White, jr.",06-19-1858,local
Nenia W Roberts.,06-19-1859,local
"Logan County--D. D. Day, K Artis, jr,",06-19-1860,local
Mt. Vernon~—O Martin.,06-19-1861,local
"T¥enton Jefferson co.—J Simpson,",06-19-1862,local
Mt. Pleasantg-Elijah Sawyer.,06-19-1863,local
Warren—-A@Movore.,06-19-1864,local
"Gallipolis—Hl W Bell, J Gee,",06-19-1865,local
"tJuckson—N Nukes, T) Woodson.",06-19-1866,local
"Lebanon—T Benford,",06-19-1867,local
Massillon—J S Thompson.,06-19-1868,local
Barnesville—A Harper.,06-19-1869,local
"Oberlin—A Jones, ‘I’ Fisher",06-19-1870,local
Lower Sandusky A Wintield.,06-19-1871,local
"Morgan county—Lioyd E Guy,",06-19-1872,local
Patnum—J ‘Thomas.,06-19-1873,local
"Terrehaute la—E, Rov,",06-19-1874,local
Lafayette Iu.— 38 B Webster.,06-19-1875,local
Granville O. ‘I’ Walker,06-19-1876,local
Madison laa—A Duncan.,06-19-1877,local
"Indianopolis, Te. J G Bretton.",06-19-1878,local
"Detroit, Mich.--lt Banks, W C Monroe.",06-19-1879,local
Piketon--W Evans.,06-19-1880,local
"Richmond, Ross co. C Oston,",06-19-1881,local
"Sharonvillc—-]) Lucus, C Smuh. W Polson.",06-19-1882,local
"Miami co. 'T. Anderson, R. Smith.",06-19-1883,local
"Vanicertco. U, Taylor.",06-19-1884,local
Shelby co. fl Galloway A N Redmon,06-19-1885,local
Champaign.co. LD. Laticaster.,06-19-1886,local
"Crawford co. A, Allen.",06-19-1887,local
"New Albany, Ind.—G W Carter; —",06-19-1888,local
"Cincinnati, Rev. C, Satchel, Rev. M.M Clark.",06-19-1890,traveling
"warding, Rev. B, Cumberland, Rev. S. lox.",06-19-1891,traveling
"Loganca, Rev. M. T..Nusuim, 7",06-19-1892,traveling
"Hamilton. Rev. W. C Yancy,",06-19-1893,traveling
Massillon. Rev. JS. ‘Thomas.,06-19-1894,traveling
"Mt. Pleusant. Rev. W. Newmon,",06-19-1895,traveling
"Jackson co, Rev. 'T', Woodson.",06-19-1896,traveling
"Cincinnati W W Watson, A M Sumner,W Tl Yancy.",06-26-1844,local
"Hamilton, Butler co.—I}1 Simpson.",06-26-1844,local
"Dayton, O..  T. Jetferson.",06-26-1844,local
"Springfield W. Piles,",06-26-1844,local
"Urbanu—L Adams,",06-26-1844,local
"Chillicothe J Burnett, James Leach.",06-26-1844,local
Circleville U Giasspy.G Stanup.,06-26-1844,local
"Lancaster S Smith N Smith,",06-26-1844,local
"Zanesville 1, Martin Wf Nusum, W Gasaway",06-26-1844,local
"Hillshoro J Tailor, N ‘Tailor.",06-26-1844,local
"Warren, Trumble co-—A Day",06-26-1844,local
Steubenville W = rerris.,06-26-1844,local
"Newark—W Jenkins, G W Roots",06-26-1844,local
"Cleveland J Malvin, J L Watson, RD",06-26-1844,local
Kenney.,06-26-1844,local
"Dublin S White, jr.",06-26-1844,local
Xenia W Roberts.,06-26-1844,local
"Logan County--D, D, Day, K Artis, jr.",06-26-1844,local
Mt. Vernon—O Martin.,06-26-1844,local
| Trenton Jefferson co.—J Simpson.,06-26-1844,local
"pMt. Pleasant--Elijah Sawyer,",06-26-1844,local
"| Warren—A ore,",06-26-1844,local
"Gallipolis—Hi W Bell, J Gee,",06-26-1844,local
"wJuckson—N Nukes, T Woodson.",06-26-1844,local
Lebunon—'T Benford.,06-26-1844,local
Mussillon—J 3S ‘Thompson.,06-26-1844,local
Barnesville—A Harper.,06-26-1844,local
"Oberlin—A Jones, ‘I’ Fisher",06-26-1844,local
Lower Sandusky A Winfield.,06-26-1844,local
Morgan county—Lloyd E Guy.,06-26-1844,local
Putnum—J ‘Thomas.,06-26-1844,local
"Terrcehaute la—E, Roy.",06-26-1844,local
Lafayette la.— 8 B Webster.,06-26-1844,local
Granville O. ‘Ty Watker.4,06-26-1844,local
Madison Ia.—A Duncan.,06-26-1844,local
"{Indianopolis, Ia. J G Bretton.",06-26-1844,local
"Detroit, Mich.--R Banks, W C Monroe.",06-26-1844,local
Piketon-=-W Evans.,06-26-1844,local
"Richmond, Ross co. C Oston, ‘",06-26-1844,local
"Sharonville—-D Lucus, C Smith, W Polson.",06-26-1844,local
"Miami co. ‘I’. Anderson, R. Smith.",06-26-1844,local
"Vanwertco. U, Taylor.",06-26-1844,local
Shelby co. 1 Galloway A N Redmon,06-26-1844,local
Champaign co. D. Lancaster.,06-26-1844,local
"Craicford co. A, Allen.",06-26-1844,local
"New Albany, Ind.—G W Carter.",06-26-1844,local
Mercer co. Rev. S Jones,06-26-1844,local
Licking co. F J Bailes,06-26-1844,local
"Cincinnati, Rev. C, Satchel, Rev. M. M Clark.",06-26-1844,traveling
"Wardina, Rev. E, Cumberland, Rev. S. Pox.",06-26-1844,traveling
"Logan ce, Rev. MT’. Nusum,",06-26-1844,traveling
Hamilton. Rev. W. C Yancy.,06-26-1844,traveling
Massillon. Rev. J. Thomas.,06-26-1844,traveling
"Mt, Pleasant. Rev. W. Newmon.",06-26-1844,traveling
"\Juckson co, Rev: ‘T'. Woodson.",06-26-1844,traveling
"Cincinnati WW Watseun, AM Sumer,",07-03-1844,local
W Il Yaney.,07-03-1844,local
"Hemilton, Butler co.—t1 Simpson.",07-03-1844,local
"Dayton, O.  T. Jetferson.",07-03-1844,local
"Spring field W. Piles,",07-03-1844,local
"Urbuna--L Acams,",07-03-1844,local
"Chillicothe J Burnett, James Leach.",07-03-1844,local
Circleville U Giusepy.G Stanup.,07-03-1844,local
"Luncaster 8S Smith N.Sinith,",07-03-1844,local
"Zanesville 1, Martin tt Nasum, W Gasaway",07-03-1844,local
"Hillsboro J ‘Tailor, N ‘Tailor,",07-03-1844,local
"Warren, Trumble co--A Day",07-03-1844,local
Steubenville W = rerris.,07-03-1844,local
"Newark—W Jenkins, G W Roots",07-03-1844,local
"Cleveland J Malvin, J L Watson, R D Kenney.",07-03-1844,local
"Dublin S White, jr.",07-03-1844,local
Xenia W Roberts.,07-03-1844,local
"Logan County--). D. Day. K Artis, jr.",07-03-1844,local
Mt. Vernon--O Martin.,07-03-1844,local
"Trenton Jeffirson co.—J Simpson,",07-03-1844,local
Mt. Pleasant--Elijah Sawyer.,07-03-1844,local
WWarren—A Moore.,07-03-1844,local
"Gallipolis—H1 M¥ Bel!, J Gee,",07-03-1844,local
"Jackson—N Nukes, T Woodson,",07-03-1844,local
Lebunon—T Benfard.,07-03-1844,local
Massillon—J 3 Thompson.,07-03-1844,local
Barnesville—A Harper.,07-03-1844,local
"Oberlin—A Jones, ‘I’ Fisher",07-03-1844,local
Lower Sandusky A Winfield.,07-03-1844,local
Morgan county—Vloyd E Guy.,07-03-1844,local
Putnum—J Thomas.,07-03-1844,local
"Terrchaute Ta—E, Rov,",07-03-1844,local
"LufajetteIa—S B Webster,",07-03-1844,local
Granville O. T Wa'ker.,07-03-1844,local
Mudison Iaa—A Duncan.,07-03-1844,local
